,id,year,input_x,id2,year2,input_y,relationship,relationship_v2,penjelasan
763,2015-B5_R19,2015,<blok> Kegiatan mencari kerja atau menyiapkan usaha </blok><pertanyaan> Apa alasan utama (NAMA) untuk mencari kerja atau mempersiapkan usaha? </pertanyaan>,2020-kode_prov,2020,<blok> Informasi Umum Responden </blok><pertanyaan> Daerah Wilayah </pertanyaan>,tidak ada hubungan,tidak ada hubungan,"Karena alasan utama mencari kerja/mempersiapkan usaha bersifat motivasional pribadi, tidak dipengaruhi oleh lokasi geografis, sehingga tidak memiliki hubungan semantik dengan pertanyaan wilayah/responden."
1066,2010-B5P23,2010,"<blok> Kegiatan mencari pekerjaan dan mempersiapkan usaha </blok><pertanyaan> Jika tersedia penawaran kerja, apakah (NAMA) masih bersedia menerima? </pertanyaan>",2020-r6e,2020,"<blok> Informasi Responden </blok><pertanyaan> Apakah Anda saat ini terlibat dalam pelatihan, kursus, atau training (bukan wajib bersertifikat)? </pertanyaan>",tidak ada hubungan,tidak ada hubungan,"Pertanyaan pertama berhubungan dengan kesiapan kerja/mempersiapkan usaha, sedangkan pertanyaan kedua berhubungan dengan pelatihan atau kursus yang sedang diikuti. Tidak ada hubungan langsung antara keduanya."
866,2010-B5P13BLM,2010,<blok> Jabatan utama </blok><pertanyaan> Berapa lama (NAMA) telah bekerja di posisi ini? (bulan) </pertanyaan>,2012-HUB,2012,<blok> Detail anggota keluarga </blok><pertanyaan> Relasi dengan kepala keluarga (kode) </pertanyaan>,tidak ada hubungan,tidak ada hubungan,"- Pertanyaan tentang durasi kerja (bulan) tidak berhubungan dengan pertanyaan mengenai relasi keluarga (kode).  
- Pertanyaan tentang pekerjaan utama (bulan) tidak berhubungan dengan pertanyaan mengenai hubungan anggota rumah tangga (kode)."
904,2015-B5_R1B,2015,<blok> Pendidikan </blok><pertanyaan> Program studi pendidikan atau bidang akademik: </pertanyaan>,2020-r13b_kji19,2020,<blok> Informasi Umum Responden </blok><pertanyaan> Pekerjaan Utama Anda dalam Seminggu Terakhir Berdasarkan Klasifikasi Standar Jenis Pekerjaan 1982 - satu digit </pertanyaan>,tidak ada hubungan,tidak ada hubungan,Pertanyaan tentang program studi pendidikan tidak terkait dengan pertanyaan tentang pekerjaan utama karena masing‑masing mengukur variabel berbeda (kualifikasi akademik vs. aktivitas kerja) tanpa ada hubungan sebab‑akibat atau konteks bersama.
1058,2015-KODE_PROV,2015,<blok> Pengantar lokasi </blok><pertanyaan> NEGARA BAGIAN </pertanyaan>,2015-B5_R19,2015,<blok> Kegiatan mencari kerja atau menyiapkan usaha </blok><pertanyaan> Apa alasan utama (NAMA) untuk mencari kerja atau mempersiapkan usaha? </pertanyaan>,tidak ada hubungan,tidak ada hubungan,"Pengantar lokasi/NEGARA BAGIAN berfokus pada identifikasi tempat, sementara Kegiatan mencari kerja/mempersiapkan usaha/Alasan utama berfokus pada motivasi kerja; satu berbicara tentang geografi, satu tentang niat profesional—karena dua bidang tersebut berbeda, tidak ada hubungan semantik."
727,2015-B5_R208,2015,<blok> Aktivitas pencarian kerja atau persiapan usaha </blok><pertanyaan> Tindakan apa saja yang telah Anda lakukan (NAMA) dalam mencari pekerjaan atau menyiapkan usaha? (Lainnya) </pertanyaan>,2017-b5_r26a5,2017,"<blok> Tugas pokok </blok><pertanyaan> Selama satu minggu terakhir, berapa jam kerja harian Anda setelah mengurangi waktu istirahat? Jumat: </pertanyaan>",tidak ada hubungan,tidak ada hubungan,"Pertanyaan pertama menanyakan aktivitas pencarian kerja atau persiapan usaha (objek = kegiatan pencarian/penyiapan), sedangkan pertanyaan kedua menanyakan jam kerja pokok (objek = jam kerja pada pekerjaan utama); fokus, konteks, dan metrik yang diukur berbeda sehingga tidak saling berkaitan."
820,2012-kji,2012,<blok> Informasi Umum Responden </blok><pertanyaan> Klasifikasi Standar Jenis Pekerjaan 2000 pekerjaan utama </pertanyaan>,2015-B5_R14T,2015,<blok> Pekerjaan utama </blok><pertanyaan> Berapa lama (NAMA) sudah bekerja di posisi saat ini? (tahun) </pertanyaan>,tidak ada hubungan,tidak ada hubungan,"Pertanyaan tentang klasifikasi pekerjaan tidak berkaitan secara semantik dengan pertanyaan tentang lamanya bekerja di posisi saat ini.  

Pertanyaan tentang klasifikasi pekerjaan tidak berkaitan dengan pertanyaan tentang lamanya bekerja di pekerjaan sekarang."
896,2012-B5P20_3,2012,<blok> Kegiatan mencari pekerjaan atau mempersiapkan usaha </blok><pertanyaan> Langkah apa saja (NAMA) yang pernah Anda lakukan dalam mencari pekerjaan atau mempersiapkan usaha? (Melamar dengan memanfaatkan iklan) </pertanyaan>,2020-r12b,2020,<blok> Umum Responden </blok><pertanyaan> PEKERJAAN UTAMA ANDA DALAM SEMINGGU TERAKHIR: Berapa banyak tenaga kerja/karyawan/pegawai yang menerima gaji? </pertanyaan>,tidak ada hubungan,tidak ada hubungan,"1. Pertanyaan pertama menanyakan langkah pribadi yang pernah dilakukan dalam mencari pekerjaan atau mempersiapkan usaha (mis. melamar lewat iklan).  
   Pertanyaan kedua menanyakan jumlah karyawan yang menerima gaji di pekerjaan utama responden.  
   Kedua pertanyaan tidak saling terkait karena satu fokus pada **aktivitas pencarian atau persiapan usaha individu**, sedangkan yang lainnya fokus pada **struktur dan jumlah tenaga kerja di posisi kerja utama**.  

2. Pertanyaan pertama menanyakan upaya yang pernah dilakukan (NAMA) dalam mencari pekerjaan/mempersiapkan usaha (mis. melamar iklan).  
   Pertanyaan kedua menanyakan jumlah buruh/karyawan/pegawai yang dibayar di pekerjaan utama.  
   Keduanya tidak berkaitan karena satu menjawab tentang **langkah-langkah pencarian atau persiapan usaha**, sementara yang lain menjawab tentang **jumlah tenaga kerja yang dibayar di pekerjaan utama**."
529,2017-b5_r19f,2017,<blok> Kegiatan mencari pekerjaan atau mempersiapkan usaha </blok><pertanyaan> Upaya apa yang sudah dilakukan (NAMA) dalam mencari pekerjaan atau mempersiapkan usaha selama satu minggu atau satu bulan terakhir? Mengumpulkan modal atau perlengkapan </pertanyaan>,2020-r24e,2020,"<blok> Aktivitas pencarian pekerjaan/penyiapan usaha </blok><pertanyaan> Selama tujuh hari terakhir, apakah Anda telah mengumpulkan modal, mencari tempat, atau mengurus izin usaha? </pertanyaan>",equivalent,equivalen,"Kedua kalimat menanyakan aktivitas pencarian pekerjaan/mempersiapkan usaha dalam periode satu minggu terakhir serta kegiatan pengumpulan modal, pencarian lokasi, dan urusan izin usaha, sehingga arti semantik sama."
686,2017-b5_r30c21,2017,"<blok> Pekerjaan pokok </blok><pertanyaan> Gaji lembur, tunjangan transportasi, dan uang makan: (uang) </pertanyaan>",2015-B5_R13A,2015,<blok> Pekerjaan utama </blok><pertanyaan> Berapa upah bersih yang diterima (NAMA) dalam satu bulan terakhir dari pekerjaan utama? (dalam bentuk uang)  </pertanyaan>,lebih khusus dari,lebih detail,"Kedua pertanyaan bersifat semantik: <pertanyaan> Gaji lembur, tunjangan transportasi, dan uang makan: (uang) </pertanyaan> memecah komponen pendapatan menjadi bagian yang spesifik, sehingga memberikan gambaran rinci mengenai setiap elemen komponen upah. Sebaliknya, <pertanyaan> Berapa upah bersih yang diterima (NAMA) dalam satu bulan terakhir dari pekerjaan utama? (dalam bentuk uang) </pertanyaan> hanya menanyakan total net salary tanpa memperinci sumbernya, sehingga kurang detail."
196,2010-B5P4,2010,<blok> Kegiatan minggu lalu </blok><pertanyaan> Apakah (NAMA) sedang mencari kerja? </pertanyaan>,2020-r22a,2020,<blok> Aktivitas mencari pekerjaan/mengembangkan usaha </blok><pertanyaan> Apakah Anda sedang mencari pekerjaan dalam satu minggu terakhir? </pertanyaan>,equivalent,equivalen,"Kedua kombinasi menyiratkan aktivitas yang dilakukan dalam satu minggu terakhir yang berkaitan dengan pencarian pekerjaan atau pengembangan usaha, dan pertanyaannya menanyakan status pencarian kerja dalam periode tersebut, sehingga makna keseluruhan identik."
584,2010-B5P6B,2010,<blok> Aktivitas satu minggu terakhir </blok><pertanyaan> Berapa total jam kerja pada semua aktivitas setiap hari dalam minggu terakhir? </pertanyaan>,2020-r16a5,2020,"<blok> Data Umum Responden </blok><pertanyaan> Selama tujuh hari terakhir, berapa jam kerja harian Anda setelah mengurangi waktu istirahat? Jumat : </pertanyaan>",lebih umum dari,lebih agregat,"Karena jam kerja seminggu adalah jumlah jam per hari, termasuk hari Jumat, sehingga pertanyaan agregat menanyakan total jam kerja seluruh aktivitas, sedangkan pertanyaan spesifik hanya menanyakan hari Jumat."
575,2010-B5P11A,2010,<blok> Pekerjaan utama </blok><pertanyaan> Berapa pendapatan bersih (NAMA) bulan lalu dari pekerjaan utama? </pertanyaan>,2017-b5_r30b2,2017,"<blok> Pekerjaan utama </blok><pertanyaan> Jika R.27.a bernilai 1, 5, atau 6, berapa penghasilan bersih yang diterima (NAMA) dalam satu bulan terakhir dari pekerjaan utama? (barang) </pertanyaan>",lebih umum dari,lebih agregat,"Pertanyaan pertama menanyakan pendapatan bersih secara keseluruhan, sementara pertanyaan kedua menanyakan komponen penghasilan dalam bentuk uang (barang), sehingga lebih spesifik dan kurang agregat."
825,2017-b5_r26a1,2017,"<blok> Tugas utama </blok><pertanyaan> Selama satu minggu terakhir, berapa jam kerja harian Anda setelah mengurangi waktu istirahat? Senin : </pertanyaan>",2012-B5P4,2012,<blok> Aktivitas seminggu terakhir </blok><pertanyaan> Apakah (NAMA) tengah mencari kerja? </pertanyaan>,tidak ada hubungan,tidak ada hubungan,"Kedua pertanyaan membahas topik berbeda: satu meminta data jam kerja harian, yang lain menanyakan status pencarian kerja, sehingga tidak berkaitan secara semantik."
463,2015-B5_R6,2015,<blok> Aktivitas minggu lalu </blok><pertanyaan> Apa alasan utama (NAMA) tidak mencari pekerjaan atau mempersiapkan usaha baru? </pertanyaan>,2020-r25a,2020,"<blok> Aktivitas mencari pekerjaan/menyiapkan usaha </blok><pertanyaan> Selama tujuh hari terakhir, apa alasan utama Anda belum mencari pekerjaan maupun menyiapkan usaha? </pertanyaan>",equivalent,equivalen,Keduanya menanyakan alasan utama dalam satu minggu terakhir yang sama untuk tidak mencari pekerjaan atau mempersiapkan usaha.
1115,2015-kbji2002,2015,"<blok> Riwayat Pekerjaan </blok><pertanyaan> Sebelum berhenti dari pekerjaan atau usaha utama terakhir, jenis usaha/bidang pekerjaan apa (NAMA) yang Anda jalankan? Klasifikasi Baku Jenis Pekerjaan Indonesia 2002 </pertanyaan>",2015-B5_R15E,2015,<blok> Pekerjaan pokok </blok><pertanyaan> Jenis transportasi apa yang sering dipakai (NAMA) saat menuju dan kembali ke tempat kerja? </pertanyaan>,tidak ada hubungan,tidak ada hubungan,"Pertanyaan pertama menanyakan jenis usaha atau bidang pekerjaan terakhir sebelum berhenti, sedangkan pertanyaan kedua menanyakan jenis transportasi yang sering dipakai saat menuju dan kembali ke tempat kerja.  
Pertanyaan ketiga mengacu pada pekerjaan utama, sedangkan pertanyaan keempat juga tentang pekerjaan utama, tetapi fokus pada jenis transportasi.  
Karena satu mengumpulkan data riwayat pekerjaan/jenis usaha, sedangkan yang lainnya mengumpulkan data transportasi, keduanya tidak saling berkaitan secara semantik."
126,2010-JK,2010,<blok> Informasi mengenai anggota rumah tangga </blok><pertanyaan> Golongan kelamin </pertanyaan>,2017-b4_k4,2017,<blok> Informasi anggota rumah tangga </blok><pertanyaan> Jenis Kelamin </pertanyaan>,equivalent,equivalen,"Karena istilah “Golongan kelamin” dan “Jenis Kelamin” merupakan sinonim, dan frasa “Informasi mengenai anggota rumah tangga”, “Informasi anggota rumah tangga”, serta “Keterangan anggota rumah tangga” semua merujuk pada data yang sama tentang anggota keluarga, sehingga struktur dan makna pertanyaan tetap identik."
361,2012-B5P12,2012,<blok> Pekerjaan utama </blok><pertanyaan> Bagaimana posisi (NAMA) di pekerjaan utama pada minggu lalu? </pertanyaan>,2020-r12a,2020,<blok> Umum Responden </blok><pertanyaan> Pekerjaan Utama Anda dalam seminggu terakhir. Apa status pekerjaan Anda? </pertanyaan>,equivalent,equivalen,"Pada kedua pasangan, blok “Pekerjaan utama” dan “Umum Responden” merujuk pada satu topik: pekerjaan utama responden dalam minggu terakhir, dan pertanyaan yang mengikuti memintai status/kedudukan pekerjaan tersebut. Karena konten dan konteksnya sama, kedua konstruksi bersifat semantik identik."
257,2012-B5P15C,2012,<blok> Tugas utama </blok><pertanyaan> Seberapa jauh perjalanan dari rumah ke kantor? </pertanyaan>,2015-B5_R15C,2015,<blok> Pekerjaan utama </blok><pertanyaan> Berapa panjang jarak dari rumah ke tempat kerja? </pertanyaan>,equivalent,equivalen,Keduanya memiliki makna yang sama karena masing-masing menyatakan tugas utama dan jarak tempuh dari rumah ke tempat kerja.
536,2017-b5_r26a3,2017,"<blok> Tugas utama </blok><pertanyaan> Selama tujuh hari terakhir, berapa jam kerja harian Anda setelah dikurangi waktu istirahat? Rabu : </pertanyaan>",2020-r16a3,2020,"<blok> Umum Responden </blok><pertanyaan> Dalam seminggu terakhir, berapa total jam kerja harian Anda setelah mengurangi waktu istirahat? Rabu : </pertanyaan>",equivalent,equivalen,"Blok “Tugas utama” / “Pekerjaan utama” dan “Umum Responden” semuanya merujuk ke konteks pekerjaan responden.  
Pertanyaan yang berisi “selama tujuh hari terakhir” / “dalam seminggu terakhir” dan “berapa jam kerja harian Anda setelah dikurangi waktu istirahat” menanyakan hal yang sama, sehingga kedua kombinasi tersebut semantik identik."
1096,2015-NAMA_KAB,2015,<blok> Pengantar lokasi </blok><pertanyaan> Nama daerah kabupaten </pertanyaan>,2015-B5_R15A2,2015,<blok> Pekerjaan utama </blok><pertanyaan> Di mana biasanya (NAMA) bekerja pada seminggu terakhir? (Kab) </pertanyaan>,tidak ada hubungan,tidak ada hubungan,"Pertanyaan pertama meminta nama daerah kabupaten, sedangkan pertanyaan kedua menanyakan lokasi tempat kerja (kegiatan utama) seseorang; satu menanyakan identitas wilayah, satu menanyakan aktivitas kerja, sehingga tidak saling berhubungan."
